,BN1,BN2,BN3,BN4,BN5,BN6,BN7,BN8,BN9,BN10,,
acc,0.855140187,0.828220859,0.810483871,0.777493606,0.820289855,0.830508475,0.822510823,0.834394904,0.828220859,0.822429907,,
recall,0.721621622,0.751633987,0.777777778,0.336283186,0.857142857,0.553571429,0.92,0.875,0.488888889,0.764705882,,
auc,0.815405997,0.807364613,0.800434513,0.646558859,0.827156334,0.743563123,0.847820513,0.845756881,0.723258004,0.804683038,,
f1,0.741666667,0.732484076,0.695464363,0.466257669,0.786206897,0.639175258,0.770949721,0.763636364,0.611111111,0.705426357,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
acc,0.855140187,0.828220859,0.810483871,0.777493606,0.820289855,0.830508475,0.822510823,0.834394904,0.828220859,0.822429907,,
recall,0.721621622,0.751633987,0.777777778,0.336283186,0.857142857,0.553571429,0.92,0.875,0.488888889,0.764705882,,
auc,0.815405997,0.807364613,0.800434513,0.646558859,0.827156334,0.743563123,0.847820513,0.845756881,0.723258004,0.804683038,,
f1,0.741666667,0.732484076,0.695464363,0.466257669,0.786206897,0.639175258,0.770949721,0.763636364,0.611111111,0.705426357,,
,,,,,,,,,,,,
acc,0.855140187,0.828220859,0.810483871,0.777493606,0.820289855,0.830508475,0.822510823,0.834394904,0.828220859,0.822429907,,
recall,0.721621622,0.751633987,0.777777778,0.336283186,0.857142857,0.553571429,0.92,0.875,0.488888889,0.764705882,,
auc,0.815405997,0.807364613,0.800434513,0.646558859,0.827156334,0.743563123,0.847820513,0.845756881,0.723258004,0.804683038,,
f1,0.741666667,0.732484076,0.695464363,0.466257669,0.786206897,0.639175258,0.770949721,0.763636364,0.611111111,0.705426357,,
,,,,,,,,,,,,
acc,0.855140187,0.828220859,0.810483871,0.777493606,0.820289855,0.830508475,0.822510823,0.834394904,0.828220859,0.822429907,,
recall,0.721621622,0.751633987,0.777777778,0.336283186,0.857142857,0.553571429,0.92,0.875,0.488888889,0.764705882,,
auc,0.815405997,0.807364613,0.800434513,0.646558859,0.827156334,0.743563123,0.847820513,0.845756881,0.723258004,0.804683038,,
f1,0.741666667,0.732484076,0.695464363,0.466257669,0.786206897,0.639175258,0.770949721,0.763636364,0.611111111,0.705426357,,
,,,,,,,,,,,,
acc,0.855140187,0.828220859,0.810483871,0.777493606,0.820289855,0.830508475,0.822510823,0.834394904,0.828220859,0.822429907,,
recall,0.721621622,0.751633987,0.777777778,0.336283186,0.857142857,0.553571429,0.92,0.875,0.488888889,0.764705882,,
auc,0.815405997,0.807364613,0.800434513,0.646558859,0.827156334,0.743563123,0.847820513,0.845756881,0.723258004,0.804683038,,
f1,0.741666667,0.732484076,0.695464363,0.466257669,0.786206897,0.639175258,0.770949721,0.763636364,0.611111111,0.705426357,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
≥ı º,,,,,,,,,,,,
,BN1,BN2,BN3,BN4,BN5,BN6,BN7,BN8,BN9,BN10,mean,
acc,0.8061,0.8098,0.7903,0.7366,0.7855,0.8039,0.7922,0.8217,0.7423,0.7734,0.7862,
recall,0.7459,0.7255,0.4251,0.8584,0.8496,0.5,0.8667,0.8542,0.9333,0.7815,0.754,
auc,0.7882,0.7869,0.6781,0.7727,0.7975,0.7085,0.8115,0.8308,0.8014,0.7759,0.7751,
f1,0.6891,0.7048,0.5301,0.6532,0.7533,0.5803,0.7303,0.7455,0.6667,0.6572,0.6711,
,BN1,BN2,BN3,BN4,BN5,BN6,BN7,BN8,BN9,BN10,mean,
acc,0.8855,0.8793,0.8562,0.8261,0.8754,0.8886,0.8745,0.9108,0.8834,0.8668,0.8747,
recall,0.7973,0.7451,0.8164,0.6903,0.8947,0.7589,0.9333,0.8958,0.6444,0.7983,0.7975,
auc,0.8593,0.8428,0.844,0.7858,0.879,0.8479,0.8897,0.9066,0.8095,0.8458,0.851,
f1,0.8005,0.7944,0.7596,0.6964,0.847,0.787,0.8284,0.86,0.7532,0.7692,0.7896,
acc,0.8551,0.8282,0.8105,0.7775,0.8203,0.8305,0.8225,0.8344,0.8282,0.8224,0.823,-0.0517
recall,0.7216,0.7516,0.7778,0.3363,0.8571,0.5536,0.92,0.875,0.4889,0.7647,0.7047,-0.0928
auc,0.8154,0.8074,0.8004,0.6466,0.8272,0.7436,0.8478,0.8458,0.7233,0.8047,0.7862,-0.0648
f1,0.7417,0.7325,0.6955,0.4663,0.7862,0.6392,0.7709,0.7636,0.6111,0.7054,0.6912,-0.0983
,,,,,,,,,,,,
,,,,,,,,,,,,
acc,0.855140187,0.828220859,0.810483871,0.777493606,0.820289855,0.830508475,0.822510823,0.834394904,0.828220859,0.822429907,,
recall,0.721621622,0.751633987,0.777777778,0.336283186,0.857142857,0.553571429,0.92,0.875,0.488888889,0.764705882,,
auc,0.815405997,0.807364613,0.800434513,0.646558859,0.827156334,0.743563123,0.847820513,0.845756881,0.723258004,0.804683038,,
f1,0.741666667,0.732484076,0.695464363,0.466257669,0.786206897,0.639175258,0.770949721,0.763636364,0.611111111,0.705426357,,
,,,,,,,,,,,,
acc,0.855140187,0.828220859,0.810483871,0.777493606,0.820289855,0.830508475,0.822510823,0.834394904,0.828220859,0.822429907,,
recall,0.721621622,0.751633987,0.777777778,0.336283186,0.857142857,0.553571429,0.92,0.875,0.488888889,0.764705882,,
auc,0.815405997,0.807364613,0.800434513,0.646558859,0.827156334,0.743563123,0.847820513,0.845756881,0.723258004,0.804683038,,
f1,0.741666667,0.732484076,0.695464363,0.466257669,0.786206897,0.639175258,0.770949721,0.763636364,0.611111111,0.705426357,,
,,,,,,,,,,,,
acc,0.855140187,0.828220859,0.810483871,0.777493606,0.820289855,0.830508475,0.822510823,0.834394904,0.828220859,0.822429907,,
recall,0.721621622,0.751633987,0.777777778,0.336283186,0.857142857,0.553571429,0.92,0.875,0.488888889,0.764705882,,
auc,0.815405997,0.807364613,0.800434513,0.646558859,0.827156334,0.743563123,0.847820513,0.845756881,0.723258004,0.804683038,,
f1,0.741666667,0.732484076,0.695464363,0.466257669,0.786206897,0.639175258,0.770949721,0.763636364,0.611111111,0.705426357,,
